ID;NAME;REGION_ID;AGENCIA_ID
313;REQUINOA;12;7
314;RETIRO;14;8
315;REUMEN;1;11
316;RIO BUENO;16;15
317;RIO HURTADO;5;18
318;RIO IBANEZ;10;12
319;RIO NEGRO;1;19
320;RIO PUELO;1;11
321;RIO TRANQUILO;10;12
322;ROBINSON CRUSOE;2;6
323;ROMERAL;14;8
324;RUCALHUE;7;9
325;SALAMANCA;5;5
326;SAMO ALTO;5;5
327;SAN ANTONIO;2;17
328;SAN BERNARDO;3;1
329;SAN CARLOS;13;9
330;SAN CLEMENTE;14;8
331;SAN ESTEBAN;2;20
332;SAN FELIPE;2;20
333;SAN FELIX;4;4
334;SAN FERNANDO;12;7
335;SAN GREGORIO;7;9
336;SAN JAVIER;14;8
337;SAN PABLO;1;19
338;SAN PEDRO;7;9
339;SAN PEDRO MELIP;3;17
340;SAN ROSENDO;7;9
341;SAN SEBASTIAN;2;17
342;SANTA BARBARA;7;22
343;SANTA CRUZ;12;7
344;SANTA JUANA;7;9
345;SANTA MARIA;2;6
346;SANTIAGO;3;1
347;SANTO DOMINGO;2;17
348;SAUZAL;14;8
349;SN.FCO.MOSTAZAL;12;7
350;SN.J.MARIQUINA;16;15
351;SN.JOSE DE MAIP;3;1
352;SN.JUAN DE LA C;1;19
353;SN.P.DE ATACAMA;8;3
354;SN.VICENTE T.T.;12;7
355;T.DEL FUEGO;15;13
356;T.DEL PAINE;15;13
357;TALAGANTE;3;1
358;TALCA;14;8
359;TALCAHUANO;7;9
360;TALCAMAVIDA;7;9
361;TALTAL;8;3
362;TEMUCO;6;10
363;TENO;14;8
364;TIERRA AMARILLA;4;4
365;TIL-TIL;3;1
366;TIRUA;7;9
367;TOCOPILLA;8;3
368;TOLTEN;6;10
369;TOME;7;9
370;TORTEL;10;12
371;TRAIGUEN;6;10
372;TREGUACO;13;9
373;TRES PINOS;7;9
374;TROVOLHUE;6;10
375;TUCAPEL;7;9
376;V.CO.CASTILLO;15;13
377;VALDIVIA;16;15
378;VALLENAR;4;4
379;VALPARAISO;2;6
380;VENTANAS;2;6
381;VICTORIA;6;10
382;VICUNA;5;5
383;VILCUN;6;10
384;VILLA ALEGRE;14;8
385;VILLA ALEMANA;2;6
386;VILLA OHIGGINS;10;12
387;VILLARRICA;6;10
388;VILLASECA;14;8
389;VINA DEL MAR;2;6
390;YERBAS BUENAS;14;8
391;YUMBEL;7;9
392;YUNGAY;13;22
393;ZAPALLAR;2;6
